Location,Total Number of Public Schools [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20
Aberdeen SD,34,6268,466.47,13.44
Aberdeen WA,43,11048,653.34,16.91
Abilene TX,75,29940,2122.44,14.11
Ada OK,23,7076,495.42,14.28
Adrian MI,47,15007,918.83,16.33
Aguadilla-Isabela PR,79,29859,2451.00,12.25
Akron OH,190,92695,5543.80,16.72
Alamogordo NM,25,8345,584.29,14.28
Albany GA,38,24919,1546.90,16.11
Albany-Lebanon OR,48,17856,961.30,18.57
Albany-Schenectady-Troy NY,215,118257,9985.10,11.84
Albemarle NC,24,9166,586.52,15.63
Albert Lea MN,15,4313,295.74,14.58
Albertville AL,34,18577,1003.93,18.50
Albuquerque NM,290,134475,9096.09,14.78
Alexander City AL,14,6695,402.50,16.63
Alexandria LA,58,25931,1453.59,17.84
Alexandria MN,20,5855,253.02,23.14
Alice TX,28,10664,692.50,15.40
Allentown-Bethlehem-Easton PA-NJ,202,122726,8735.97,14.05
Alma MI,24,5766,347.52,16.59
Alpena MI,10,3679,192.97,19.07
Altoona PA,32,17156,1216.68,14.10
Altus OK,16,4455,286.15,15.57
Amarillo TX,102,49900,3466.49,14.39
Americus GA,11,5751,412.50,13.94
Ames IA,40,15851,1068.61,14.83
Amsterdam NY,16,7477,495.92,15.08
Anchorage AK,148,66203,3609.53,18.34
Andrews TX,6,4359,278.98,15.62
Angola IN,9,3642,228.60,15.93
Ann Arbor MI,102,45886,2851.58,16.09
Anniston-Oxford AL,39,17402,1025.39,16.97
Appleton WI,94,39712,2686.26,14.78
Arcadia FL,11,4939,254.50,19.41
Ardmore OK,37,10644,678.91,15.68
Arecibo PR,44,16486,1530.00,10.99
Arkadelphia AR,8,2538,201.05,12.62
Asheville NC,107,54557,3737.00,14.60
Ashland OH,19,7034,417.46,16.85
Ashtabula OH,31,12833,698.63,18.37
Astoria OR,14,5201,284.93,18.25
Atchison KS,6,2248,184.90,12.16
Athens OH,19,6897,510.50,13.51
Athens TN,15,7666,465.00,16.49
Athens TX,31,11096,800.77,13.86
Athens-Clarke County GA,44,30431,2185.10,13.93
Atlanta-Sandy Springs-Alpharetta GA,1147,1019551,65624.30,15.54
Atlantic City-Hammonton NJ,78,43706,3837.41,11.39
Atmore AL,16,5339,328.22,16.27
Auburn IN,14,7102,426.38,16.66
Auburn NY,23,9288,833.71,11.14
Auburn-Opelika AL,41,24126,1427.94,16.90
Augusta-Richmond County GA-SC,157,97376,6210.80,15.68
Augusta-Waterville ME,54,16509,1350.88,12.50
Austin MN,33,6810,370.75,18.37
Austin-Round Rock-Georgetown TX,592,371364,24863.94,14.94
Bainbridge GA,9,5012,333.40,15.03
Bakersfield CA,268,198247,–,‡
Baltimore-Columbia-Towson MD,655,410052,27140.23,15.11
Bangor ME,68,19868,1630.42,12.54
Baraboo WI,31,10327,734.61,14.06
Bardstown KY,18,7530,429.20,17.54
Barnstable Town MA,51,24100,2111.37,11.41
Barre VT,26,8099,739.96,10.95
Bartlesville OK,20,9342,512.88,18.21
Batavia NY,21,8281,953.75,8.68
Batesville AR,19,9745,829.17,11.75
Baton Rouge LA,245,135321,7381.45,18.33
Battle Creek MI,57,20079,1205.73,16.65
Bay City MI,35,13525,745.73,18.14
Bay City TX,18,7258,490.83,14.79
Beatrice NE,13,3061,227.24,13.47
Beaumont-Port Arthur TX,133,69143,4661.73,14.83
Beaver Dam WI,41,11391,789.36,14.43
Beckley WV,50,17525,1274.00,13.76
Bedford IN,19,6221,402.09,15.47
Beeville TX,14,5438,366.90,14.82
Bellefontaine OH,13,6146,440.62,13.95
Bellingham WA,77,28797,1659.35,17.35
Bemidji MN,37,8448,596.89,14.15
Bend OR,53,27292,1291.81,21.13
Bennettsville SC,7,3850,251.00,15.34
Bennington VT,16,4192,314.95,13.31
Berlin NH,23,3589,354.30,10.13
Big Rapids MI,17,5528,303.52,18.21
Big Spring TX,15,5896,405.34,14.55
Big Stone Gap VA,16,6449,453.40,14.22
Billings MT,101,26834,1818.40,14.76
Binghamton NY,72,32843,2796.77,11.74
Birmingham-Hoover AL,300,168029,9690.00,17.34
Bismarck ND,55,19256,1334.11,14.43
Blackfoot ID,31,10496,573.94,18.29
Blacksburg-Christiansburg VA,43,18143,1319.96,13.75
Bloomington IL,58,25141,1736.38,14.48
Bloomington IN,39,17067,1076.33,15.86
Bloomsburg-Berwick PA,26,10333,827.19,12.49
Bluefield WV-VA,43,15063,1011.28,14.89
Blytheville AR,21,7735,718.81,10.76
Bogalusa LA,15,6994,378.34,18.49
Boise City ID,248,129030,6810.42,18.95
Bonham TX,23,5623,439.06,12.81
Boone NC,11,4915,392.24,12.53
Borger TX,13,4101,341.02,12.03
Boston-Cambridge-Newton MA-NH,1232,658526,52378.99,12.57
Boulder CO,85,47007,2673.56,17.58
Bowling Green KY,65,29383,1700.27,17.28
Bozeman MT,45,14046,887.81,15.82
Bradford PA,14,5931,447.91,13.24
Brainerd MN,40,14551,1013.75,14.35
Branson MO,20,7984,580.32,13.76
