,SingleFamilyHousingAvgValue,CondoAvgValue,1-BedroomAvgValue,2-BedroomAvgValue,3-BedroomAvgValue,4-BedroomAvgValue,5+-BedroomAvgValue,City,State
0,217058.0,168761.0,168356.6,152586.0,205507.0,246398.0,269147.0,Mauldin, SC
1,426040.0,272959.0,232392.0,266659.0,377346.0,486333.0,665004.0,Ann Arbor, MI
2,563694.0,448918.0,412787.0,489094.0,558203.0,644181.0,718703.0,Anacortes, WA
3,153795.0,109827.0,65654.0,91142.0,157421.0,224186.0,315826.0,Wichita, KS
4,313790.0,172389.0,149424.0,193069.0,324978.0,424785.0,545135.0,West Palm Beach, FL
5,688968.0,459718.0,595242.0,540653.0,684997.0,774716.0,926010.0,Watsonville, CA
6,263291.0,162109.0,82614.0,171121.0,271465.0,379687.0,530237.0,Vero Beach, FL
7,143217.0,112477.0,78772.0,103009.0,137624.0,181408.0,230756.0,Urbana, IL
8,251307.0,168449.0,151726.0,197494.0,244325.0,303004.0,458338.0,Tucson, AZ
9,202956.0,130896.0,73937.0,130153.0,199913.0,272316.0,372227.0,Titusville, FL
10,137712.0,175666.0,94799.0,112745.0,135980.0,166375.0,190209.0,Syracuse, NY
11,368710.0,222514.0,200391.0,270185.0,350038.0,427451.0,494732.0,Stockton, CA
12,167228.0,156225.0,58844.0,91955.0,163157.0,258547.0,339422.0,Springfield, MO
13,206439.0,135031.0,109123.0,181767.0,209358.0,213681.0,224589.0,Springfield, MA
14,151362.0,114853.0,70447.0,84608.0,147685.0,232187.0,307432.0,Spartanburg, SC
15,243908.0,165807.0,122222.0,186842.0,225995.0,281885.0,412276.0,Sioux Falls, SD
16,838435.0,527305.0,494086.0,593519.0,803462.0,985343.0,1234018.0,San Luis Obispo, CA
17,206907.0,148812.0,104447.0,136251.0,192942.0,273577.0,364918.0,San Antonio, TX
18,505281.0,357858.0,328623.0,399705.0,483619.0,587980.0,804852.0,Salt Lake City, UT
19,188896.0,153134.0,90221.0,128707.0,179209.0,257940.0,377395.0,Roanoke, VA
20,271878.0,238857.0,204761.0,197993.0,256935.0,361594.0,686655.0,Richmond, VA
21,180128.0,217612.8,99289.0,115067.0,202932.0,297304.0,377069.0,Odessa, TX
22,213613.0,130524.0,110038.0,129096.0,209704.0,265988.0,346824.0,North Charleston, SC
23,694367.0,602846.0,575173.0,726108.0,677892.0,815457.0,1088310.0,New York, NY
24,232315.0,145968.0,125569.0,176104.0,226598.0,274120.0,435487.0,New Haven, CT
25,331897.0,266650.0,247392.0,260841.0,319250.0,439381.0,771347.0,Nashville, TN
26,792520.0,546489.0,600719.0,663517.0,741266.0,903665.0,1510940.0,Napa, CA
27,318954.0,248904.0,197449.0,278399.0,326117.0,388910.0,454848.0,Minneapolis, MN
28,152529.0,138417.0,164786.0,131701.0,159036.0,150183.0,139988.0,Milwaukee, WI
29,856638.0,453260.0,272337.0,470196.0,813814.0,1275633.0,2044182.0,Marco Island, FL
30,311839.0,189305.0,131702.0,240582.0,318324.0,335217.0,384639.0,Manchester, NH
31,348061.0,168179.0,128358.0,205156.0,310762.0,418284.0,491787.0,Los Alamos, NM
32,165261.0,139807.0,77780.0,77952.0,167130.0,271866.0,346853.0,Victoria, TX
33,108793.0,217612.8,69838.0,65633.0,143803.0,220832.0,294926.0,Texarkana, AR
34,334419.0,249120.0,225818.0,295488.0,350178.0,391138.0,516251.0,Taos, NM
35,1921182.0,1217617.0,688338.0,1140023.0,1661388.0,2176597.0,2439501.0,Sunnyvale, CA
36,127716.0,133766.0,46813.0,78075.0,130655.0,215895.0,334494.0,Springfield, IL
37,145549.0,217612.8,101064.0,119213.0,156315.0,179427.0,252830.0,Sioux City, IA
38,674714.0,298427.0,210619.0,380643.0,580061.0,876870.0,1313043.0,Scottsdale, AZ
39,823466.0,523849.0,387513.0,582051.0,765607.0,918514.0,1310671.0,San Diego, CA
40,596860.0,316957.0,332391.0,467183.0,574235.0,655961.0,717640.0,Salinas, CA
41,152571.0,139156.0,77380.0,87564.0,136978.0,180572.0,226561.0,Killeen, TX
42,97169.0,112639.0,62472.0,85686.0,112976.0,132102.0,136406.0,Rock Island, IL
43,326555.0,218222.0,229091.0,224067.0,282368.0,435470.0,618430.0,Raleigh, NC
44,136493.0,159608.0,100226.0,113545.0,138399.0,150047.0,153569.0,Racine, WI
45,170812.0,338276.0,152179.0,126979.0,175867.0,255394.0,399038.0,Pensacola, FL
46,96346.0,100527.0,64160.0,71169.0,95945.0,136438.0,218936.0,Pascagoula, MS
47,210661.0,106327.0,93220.0,148064.0,206265.0,253338.0,335270.0,Palm Bay, FL
48,419105.0,344432.0,325898.0,349025.0,414331.0,476804.0,529617.0,Olympia, WA
49,175231.0,77073.0,58353.0,129724.0,175558.0,250296.0,347609.0,Ocala, FL
50,438896.0,224056.0,199883.0,313946.0,416908.0,503902.0,526754.0,Juneau, AK
51,225865.0,172969.0,142709.0,164692.0,219824.0,329136.0,430448.0,Morgantown, WV
52,409943.0,307097.0,311845.0,327916.0,395118.0,474620.0,547545.0,Missoula, MT
53,161532.0,136157.0,93777.0,86539.0,156453.0,282610.0,456532.0,Lubbock, TX
54,160556.0,152035.0,148058.0,126722.0,156155.0,304555.0,455458.0,Little Rock, AR
55,183789.0,144663.0,157177.0,168523.0,184486.0,199051.0,220312.0,Lewiston, ME
56,278505.0,270040.0,154714.0,214051.0,276878.0,306619.0,353514.0,Lewiston, ID
57,253319.0,160773.0,132241.0,154593.0,224178.0,286521.0,376990.0,Iowa City, IA
58,164505.0,118992.0,168356.6,108849.0,180961.0,254660.0,310875.0,Laredo, TX
59,169229.0,174244.0,124862.0,120127.0,166766.0,239043.0,338109.0,Lafayette, IN
60,329176.0,222270.0,225739.0,226899.0,305447.0,373015.0,441812.0,Kennewick, WA
61,174761.0,213342.0,83048.0,102222.0,164075.0,227298.0,320846.0,Jefferson City, MO
62,123536.0,103543.0,69508.0,92028.0,143005.0,196490.0,283398.0,Harlingen, TX
63,218186.0,230983.0,137037.0,167845.0,213871.0,237424.0,303170.0,Great Falls, MT
64,251778.0,358693.0,271386.0,178789.0,253637.0,328595.0,381983.0,Fort Walton Beach, FL
65,144621.0,84892.0,84873.0,79568.0,131290.0,237132.0,324262.0,Fayetteville, NC
66,214473.0,203343.0,128584.0,168684.0,212973.0,264628.0,328274.0,Eau Claire, WI
67,216856.0,239688.0,149651.0,177959.0,217752.0,274507.0,344142.0,Duluth, MN
68,89318.0,172354.0,43029.0,64619.0,98306.0,124064.0,134100.0,Clinton, IA
69,282592.0,165076.0,102788.0,205885.0,299904.0,412074.0,674207.0,Clearwater, FL
70,121292.0,168721.0,53613.0,83710.0,121223.0,199578.0,258165.0,Canton, OH
71,119962.0,78396.0,65941.0,81208.0,133466.0,178361.0,227051.0,Brownsville, TX
72,163579.0,167800.0,91038.0,108497.0,150265.0,221289.0,284908.0,Biloxi, MS
73,570261.0,451656.0,366538.0,493290.0,527178.0,689895.0,939201.0,Bend, OR
74,547013.0,336934.0,335635.0,438668.0,530790.0,642413.0,714006.0,Bellingham, WA
75,342749.0,279774.0,268531.0,273976.0,344533.0,494012.0,698350.0,Asheville, NC
76,240054.0,169291.0,121855.0,161855.0,227455.0,290376.0,349741.0,Arlington, TX
77,178490.0,59534.0,57243.0,109071.0,175632.0,190246.0,263906.0,Hartford, CT
78,161867.0,219581.0,170425.0,95705.0,150741.0,207046.0,267936.0,Effingham, IL
79,300673.0,184533.0,147952.0,206682.0,311785.0,375947.0,434741.0,Walla Walla, WA
80,158102.0,119306.0,78193.0,94851.0,156839.0,292799.0,403760.0,Waco, TX
81,216149.0,112484.0,92356.0,121687.0,199884.0,339352.0,496513.0,Tallahassee, FL
82,325076.0,251984.0,194075.0,240099.0,293635.0,410879.0,486781.0,State College, PA
83,473370.0,297750.0,271442.0,356645.0,435593.0,510696.0,617387.0,Fort Collins, CO
84,103937.0,123643.0,47414.0,72058.0,110413.0,149763.0,169572.0,Rockford, IL
85,487065.0,315105.0,292664.0,382773.0,456292.0,544116.0,656461.0,Riverside, CA
86,184982.0,142535.0,107271.0,125189.0,177059.0,271888.0,324207.0,Radford, VA
