City,CloudyDays_avgPerYear,RainyDays_avgPerYear,SnowyDays_avgPerYear,State,SunnyDays_avgPerYear
Akron,164,70,48,OH,83
Albany,126,91,0,GA,148
Albany,239,67,46,NY,13
Albany,102,129,6,OR,129
Albuquerque,242,44,1,NM,79
Alexandria,122,101,0,LA,142
Allentown,152,84,29,PA,100
Altoona,139,100,50,PA,76
Amarillo,68,58,12,TX,228
Anacortes,225,71,8,WA,61
Anaheim,162,27,0,CA,177
Anchorage,210,19,73,AK,63
Anderson,132,94,29,IN,111
Ann Arbor,146,70,53,MI,96
Appleton,119,82,63,WI,100
Arlington,117,63,0,TX,185
Arroyo Grande,151,35,0,CA,179
Asheville,18,146,10,NC,191
Ashland,73,150,16,KY,126
Ashland,114,109,44,OH,98
Athens,130,123,20,OH,92
Atlantic City,130,95,12,NJ,128
Auburn,130,78,53,ME,104
Aurora,244,54,35,CO,33
Austin,192,55,0,TX,118
Bakersfield,62,34,1,CA,268
Baltimore,228,90,15,MD,32
Bangor,235,45,58,ME,27
Baton Rouge,124,113,1,LA,128
Bay City,134,80,62,MI,90
Beaumont,148,106,0,TX,111
Bellevue,224,56,6,WA,80
Bellingham,182,68,14,WA,100
Beloit,191,72,42,WI,60
Bend,51,64,36,OR,215
Benton Harbor,136,71,52,MI,106
Billings,198,54,68,MT,45
Biloxi,103,124,0,MS,139
Bismarck,120,52,56,ND,137
Blacksburg,145,114,13,VA,93
Bloomington,129,84,34,IL,118
Bossier City,125,84,1,LA,156
Boston,241,72,25,MA,27
Boulder,28,89,66,CO,182
Bowling Green,119,96,5,KY,145
Bradenton,78,129,0,FL,158
Bremerton,186,86,7,WA,87
Bridgeport,139,75,26,CT,125
Bridgeton,126,100,16,NJ,124
Bristol,178,109,10,TN,68
Brookings,118,66,42,SD,140
Brownsville,168,66,0,TX,131
Bryan,173,72,0,TX,120
Buffalo,192,91,55,NY,27
Burlington,196,63,84,VT,22
Cambridge,230,69,33,MA,33
Canton,202,72,57,OH,34
Cape Coral,79,152,0,FL,135
Carlsbad,180,35,0,CA,150
Carmel,149,85,24,IN,107
Casper,56,49,82,WY,179
Cedar Rapids,126,74,32,IA,134
Chambersburg,146,92,26,PA,102
Champaign,94,109,18,IL,144
Chapel Hill,0,146,4,NC,216
Charleston,122,112,0,SC,131
Charlotte,226,79,2,NC,59
Charlottesville,0,141,7,VA,216
Cheyenne,60,52,91,WY,162
Chicago,249,65,22,IL,28
Chico,64,47,0,CA,254
Christiansburg,150,110,13,VA,92
Clearfield,95,46,58,UT,166
Clearwater,88,144,0,FL,134
Cleveland,154,72,56,OH,84
Clinton,132,86,28,IA,120
College Station,165,66,0,TX,134
Colorado Springs,156,90,37,CO,83
Columbia,111,79,22,MO,153
Columbia,134,97,0,SC,135
Columbus,145,96,15,IN,110
Columbus,224,75,25,OH,41
Concord,118,109,3,NC,135
Conway,164,89,1,AR,111
Conway,86,128,0,SC,152
Corcoran,58,40,0,CA,267
Corpus Christi,260,68,0,TX,37
Council Bluffs,178,66,38,IA,83
Crestview,100,129,0,FL,136
Cumberland,128,118,48,MD,71
Dallas,200,70,0,TX,96
Dayton,188,85,23,OH,69
Daytona Beach,218,108,0,FL,39
Decatur,132,74,18,IL,141
Denver,225,52,55,CO,33
Des Moines,209,64,41,IA,51
Detroit,114,121,38,MI,92
Douglas,47,50,0,AZ,268
Dover,137,114,3,DE,112
Duluth,150,62,75,MN,78
Durham,158,139,5,NC,64
East Lansing,134,78,59,MI,94
Eau Claire,137,62,62,WI,103
Edinburg,162,76,0,TX,128
Effingham,139,84,15,IL,127
El Centro,31,12,0,CA,322
El Paso,152,50,1,TX,162
Elizabethtown,96,130,6,KY,133
Elko,50,24,95,NV,196
Elyria,151,81,45,OH,89
Enid,114,89,2,OK,160
Erie,130,79,70,PA,87
Eugene,209,84,6,OR,66
Evansville,126,95,7,IN,137
Fairbanks,163,70,85,AK,47
Fairfield,54,64,0,CA,248
Fayetteville,116,80,2,AR,166
Fayetteville,110,105,0,NC,150
Flagstaff,48,58,19,AZ,240
Flint,137,74,60,MI,94
Florence,107,95,0,SC,162
Fort Collins,52,55,58,CO,200
Fort Lauderdale,174,168,0,FL,24
Fort Myers,82,147,0,FL,137
Fort Smith,121,72,2,AR,170
Fort Walton Beach,138,108,0,FL,120
Fort Wayne,224,73,42,IN,26
Fort Worth,132,60,0,TX,173
